features,split,repeat,fold,auc,n_test
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,5,0.7364959328927301,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,6,0.7548138027452974,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,7,0.725959283234825,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,8,0.7582012071176156,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,9,0.7727585452043656,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,pooled,0.7633670013901568,6181
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,0,0.7264937254167447,619
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,1,0.781678952719878,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,2,0.727535587188612,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,3,0.7966287493645144,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,4,0.7652198779867819,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,5,0.7231030757498729,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,6,0.7823462125063549,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,7,0.794305281921381,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,8,0.7809675704412546,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,9,0.6800825593395252,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,4,pooled,0.7562765389262838,6181
全257項目（項目選択なし）,人ごとに10分割,0,0,0.4667903525046382,534
全257項目（項目選択なし）,人ごとに10分割,0,1,0.3947087269455691,566
全257項目（項目選択なし）,人ごとに10分割,0,2,0.4894351621886054,704
全257項目（項目選択なし）,人ごとに10分割,0,3,0.46566035590425836,490
全257項目（項目選択なし）,人ごとに10分割,0,4,0.3540744597760999,547
全257項目（項目選択なし）,人ごとに10分割,0,5,0.5913744918699188,679
全257項目（項目選択なし）,人ごとに10分割,0,6,0.5741253614629578,614
全257項目（項目選択なし）,人ごとに10分割,0,7,0.656315956862405,628
全257項目（項目選択なし）,人ごとに10分割,0,8,0.5709408194233687,713
全257項目（項目選択なし）,人ごとに10分割,0,9,0.5593632174277335,706
全257項目（項目選択なし）,人ごとに10分割,0,pooled,0.5094465319944393,6181
全257項目（項目選択なし）,人ごとに10分割,1,0,0.6081100971445393,359
全257項目（項目選択なし）,人ごとに10分割,1,1,0.5685534591194968,683
全257項目（項目選択なし）,人ごとに10分割,1,2,0.5322675874901597,717
全257項目（項目選択なし）,人ごとに10分割,1,3,0.5727604673807205,599
全257項目（項目選択なし）,人ごとに10分割,1,4,0.5125231224565299,563
全257項目（項目選択なし）,人ごとに10分割,1,5,0.4957953566112141,708
全257項目（項目選択なし）,人ごとに10分割,1,6,0.569943230902135,739
全257項目（項目選択なし）,人ごとに10分割,1,7,0.6490473547909729,670
全257項目（項目選択なし）,人ごとに10分割,1,8,0.47566244239631333,648
全257項目（項目選択なし）,人ごとに10分割,1,9,0.5675531460770085,495
全257項目（項目選択なし）,人ごとに10分割,1,pooled,0.5317703223623322,6181
全257項目（項目選択なし）,人ごとに10分割,2,0,0.5989473684210526,420
全257項目（項目選択なし）,人ごとに10分割,2,1,0.5617366856487949,763
